ACOUSTICS,,
2,University of Wisconsin–Madison,95.21
3,University of Michigan,92.89
4,University of Amsterdam,91.38
5,Princeton University,90.86
6,"University of California, Berkeley",88.64
7,"University of California, San Francisco",88.05
8,University of North Carolina at Chapel Hill,87.44
8,University of Pennsylvania,87.44
10,Columbia University,86.82
10,"University of California, Los Angeles",86.82
,,
,,
,,
"DENTISTRY",,
World Rank,Institution,Score
1,University of São Paulo,100
2,Harvard University,93.35
3,University of Bern,92.39
4,"UNESP, São Paulo State University",91.82
5,University of Campinas,89.82
6,University of Hong Kong,89.78
7,University of Michigan,89.42
8,University of Gothenburg,89.15
9,University of Zurich,89.01
10,Augusta University,88.31
,,
,,
,,
DERMATOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Copenhagen,95.97
3,"University of California, San Francisco",94.45
4,Free University of Berlin,94.28
5,Humboldt University of Berlin,93.99
6,University of Pennsylvania,92.34
7,University of Manchester,90.57
8,King's College London,90.06
9,Karolinska Institute,87.51
10,Ruprecht Karl University of Heidelberg,86.72
10,University of Münster,86.72
,,
,,
,,
DEVELOPMENTAL BIOLOGY,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Pennsylvania,88.13
3,"University of California, San Francisco",87.98
4,University of Cambridge,87.14
5,University of Toronto,84.39
6,Stanford University,83.76
6,"University of California, San Diego",83.76
8,University College London,82.14
9,Massachusetts Institute of Technology,82
10,University of Tokyo,81.71
,,
,,
,,
ECOLOGY,,
World Rank,Institution,Score
1,University of Oxford,100
2,"University of California, Berkeley",99.98
3,"University of California, Davis",99.61
4,University of Montpellier,98.77
5,University of British Columbia,96.73
6,University of Queensland,95.91
7,University of Cambridge,95.32
8,Cornell University,94.97
9,Pierre-and-Marie-Curie University,94.31
10,University of Sheffield,94.08
,,
,,
,,
ECONOMICS,,
World Rank,Institution,Score
1,Harvard University,100
2,University of Chicago,95.34
3,"University of California, Berkeley",94.09
4,Stanford University,93.36
5,Massachusetts Institute of Technology,93.34
6,London School of Economics,92.89
7,Columbia University,92.49
8,New York University,91.87
9,University of Pennsylvania,91.35
10,Northwestern University,91.09
,,
,,
,,
EDUCATION,,
